,id,title,price,num_rooms,total_area,latitude,longitude,extras,Typology,Extra_Rooms,Extra_Rooms_Flag,N_Rooms,Total_N_Rooms,Price,Area_m2,N_Extras,Extras_Flag,Latitude,Longitude,Com elevador,Com garagem,De luxo,Rés do chão,Último andar,Vista para mar,Piscina,Ajuda,Alcântara,Alvalade,Areeiro,Arroios,Avenidas Novas,Beato,Belém,Benfica,Campo de Ourique,Campolide,Carnide,Estrela,Lumiar,Marvila,Misericórdia,Olivais,Parque das Nações,Penha de França,Santa Clara,Santa Maria Maior,Santo António,São Domingos de Benfica,São Vicente,Apartamento,Casa,Duplex,Flat,Loft,Moradia,Palacete,Penthouse,Quinta,stations_within_1.5km,cultural_fac_within_1.5km,edu_within_1.5km
0,0,"Apartamento T1 em Benfica, Lisboa",269.900 €,1 quarto,Área bruta 97 m²,"38,75171","-9,2009", ,T1,0,0,1,1,269900,97,0,0,38.75171,-9.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,8.0,17.0
1,1,"Apartamento T2 em Alvalade, Lisboa",430.000 €,2 quartos,Área bruta 90 m²,"38,7457392","-9,1425898", ,T2,0,0,2,2,430000,90,0,0,38.7457392,-9.1425898,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,42.0,45.0
2,2,"Apartamento T3 na Rua António Nobre, São Domingos de Benfica, Lisboa",399.900 €,3 quartos,Área bruta 120 m²,"38,74657","-9,17989", ,T3,0,0,3,3,399900,120,0,0,38.74657,-9.17989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.0,16.0,23.0
3,3,"Apartamento T4+1 na Rua de São Paulo, Misericórdia, Lisboa",1.650.000 €,4 quartos,Área útil 233 m²,"38,70794","-9,14468","Com elevador, Com garagem",T4+1,1,1,4,5,1650000,233,2,1,38.70794,-9.14468,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,92.0,23.0
4,4,"Apartamento T1 em Praça de Luís de Camões, Misericórdia, Lisboa",690.000 €,1 quarto,Área bruta 93 m²,"38,71078","-9,14385",Com garagem,T1,0,0,1,1,690000,93,1,1,38.71078,-9.14385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,106.0,28.0
5,5,"Apartamento T5 na Rua Sousa Pinto, Santo António, Lisboa",3.950.000 €,5 quartos,Área bruta 416 m²,"38,7234746455","-9,1581178942","De luxo, Com garagem",T5,0,0,5,5,3950000,416,2,1,38.7234746455,-9.1581178942,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.0,64.0,29.0
6,6,"Apartamento T2 na Rua de São Pedro Mártir, Santa Maria Maior, Lisboa",285.000 €,2 quartos,Área bruta 55 m²,"38,71471","-9,13582", ,T2,0,0,2,2,285000,55,0,0,38.71471,-9.13582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11.0,96.0,27.0
7,7,"Apartamento T2+1 em Calçada do Combro, Misericórdia, Lisboa",1.800.000 €,2 quartos,Área bruta 234 m²,"38,71101","-9,14865","Com elevador, Com garagem",T2+1,1,1,2,3,1800000,234,2,1,38.71101,-9.14865,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,103.0,30.0
8,8,"Apartamento T9 na Rua de Santa Marta, Santo António, Lisboa",1.500.000 €,9 quartos,Área bruta 290 m²,"38,72401","-9,14598",Com elevador,T9,0,0,9,9,1500000,290,1,1,38.72401,-9.14598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16.0,88.0,31.0
9,9,"Moradia T4+1 em Largo do Mastro, Arroios, Lisboa",2.390.000 €,4 quartos,Área bruta 262 m²,"38,72141","-9,13855","De luxo, Com garagem",T4+1,1,1,4,5,2390000,262,2,1,38.72141,-9.13855,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.0,100.0,30.0
