,OBJECTID,COD_SIG,INF_NOME,INF_MORADA,FREGUESIA,INF_TELEFONE,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_ACTIVO,GlobalID,geometry
0,1,758,Gabinete curiosidades Karnart,"Avenida da Índia, 168",Belém,+351 213 466 411/+351 914 150 935 ,geral@karnart.org,www.karnart.org,"O Gabinete Curiosidades Karnart é a sede da KARNART, Criação e Produção de Objetos Artísticos, associação que desenvolve projetos nas áreas da criação, investigação e produção de objetos artísticos (plásticos, performativos, audiovisuais e outros) centrados no conceito de PERFINST (PERFormance-INSTalação). A KARNART foi fundada em 2001 pelo ator, encenador e produtor Luís Castro, em associação com o artista plástico Vel Z (Velez), a designer de moda Fernanda Ramos, a fotógrafa Maria Campos e a produtora e realizadora Filipa Reis.",1,3fe9f7da-7fad-4b14-acb3-52f2e9c0c4a6,POINT (-9.21166372368461 38.6942717024345)
1,2,759,Academia Dramática Familiar 1º de Novembro,"Rua da Praia de Pedrouços, 76-78",Belém,+351 213 012 601,,,"Edifício do séc XIX de arquitectura cultural e recreativa. Academia com auditório de planta rectangular composto pela justaposição de 2 rectângulos, respectivamente, caixa de palco e plateia animada por galeria de implantação em U, ao nível do 1º andar. Destaca-se o registo azulejar industrial (branco, azul e amarelo) que anima a fachada principal, de tratamento plástico coincidente com o gosto arte nova, com a denominação do clube ladeada por duas cabeças femininas.",1,54f50c25-86c4-4cfa-afda-56bc0df13bde,POINT (-9.21780836813136 38.6946077974743)
2,5,762,LU.CA - Teatro Luís de Camões,"Calçada da Ajuda, 80",Belém,+351 215 939 100,info@lucateatroluisdecamoes.pt,www.lucateatroluisdecamoes.pt,"Pequeno teatro de gosto neoclássico tardio, inaugurado em 10 de Junho de 1880, por ocasião do tricentenário da morte do poeta. Mandado construir por João da Cunha Açúcar, foi inaugurado pela Companhia Soares. Passou à propriedade de Joaquim Maria Nunes e foi sede do Belém Club.

Propriedade da CML é, desde 1 de junho de 2018, o mais recente teatro municipal. O renovado Teatro Luís de Camões é hoje o LU.CA teatro totalmente dedicado à programação para crianças e jovens. ",1,bfdcb6c3-99a0-4295-a270-91707f347131,POINT (-9.19937868329999 38.6990273338048)
3,6,763,Espaço POGO,"Rua da Cintura do Porto de Lisboa, Edifício 403",Estrela,+351 916 403 994,info@pogo.pt,http://www.pogo.pt,,1,51727d32-af42-4cae-bc34-9628b47b8d51,POINT (-9.15387688164241 38.7056992808956)
4,7,764,Teatro Cinearte,"Largo de Santos, 2-2E",Estrela,21 396 53 60/275,barraca@mail.telepac.pt / bilheteira@abarraca.com,www.abarraca.com,"Encomendado pela Sociedade Administradora de Cinemas, Lda., o Cinearte foi construído em 1938, segundo projecto do arq. Raul Rodrigues Lima. Classificado como Imóvel de Interesse Público, traduz um volume compacto, coberto por terraço, contrastante com a traça urbana envolvente, assemelhando-se a um edifício industrial de linhas modernistas. O cinema encerrou as portas em 1981. Nove anos passados, em 1990, já na posse da Câmara Municipal de Lisboa, o espaço foi cedido à companhia de teatro 'A Barraca', que aí continua a funcionar. A construção de uma segunda sala, em 1993, segundo projecto do arq. Rui Pimentel, veio trazer alterações significativas ao espaço interno original. Lotação/Capacidade 754 lugares.
",1,70165c4b-3536-4eb2-83bd-36d07a1110e8,POINT (-9.15523788281565 38.707179493127)
5,8,765,Espaço Ribeira,"Rua da Ribeira Nova, 44",Misericórdia,+351 210 964 851,primeiros-sintomas@primeiros-sintomas.com,www.primeiros-sintomas.com,"A Ribeira é o espaço da companhia Primeiros Sintomas, com direção artística de Bruno Bravo. Estrearam em 2001, com o espetáculo ¿A¿Rosas Suicidam-se¿, com encenação e interpretação de Bruno Bravo e Élvio Camacho. Desde então têm levado a cena várias produções, alternando entre peças de teatro clássicas ou contemporâneas e adaptações de obras literárias, destacando-se a colaboração de Miguel Castro Caldas como autor de muitos dos espetáculos. O espaço Ribeira apresenta também espetáculos de música, sessões de cinema e exposições.",1,f160dcf2-9d5e-49d3-8e54-883e861e93e5,POINT (-9.14562111679739 38.7076365851554)
6,9,766,Estúdio Mário Viegas,Largo do Picadeiro,Santa Maria Maior,+351 213 257 650,,www.teatrosaoluiz.pt,"Lotação/Capacidade 112 lugares. A bilheteira situa-se na entrada principal do São Luiz Teatro Municipal (Rua António Maria Cardoso, 38)
",1,80565bca-d41a-4c08-8ea0-5eaee2c61b33,POINT (-9.14243656131755 38.7090776349882)
7,10,767,São Luiz Teatro Municipal,"Rua António Maria Cardoso, 38",Santa Maria Maior,+351 213 257 650,info@teatrosaoluiz.pt, www.teatrosaoluiz.pt,"Inicialmente chamado Teatro de D. Amélia, foi construído em 1893. O projecto era de Luiz Ernesto Reynaud, e as decorações de Manini e Rossi, à maneira dos teatros europeus do século passado. O teatro ardeu quase totalmente em 1914, tendo apenas escapado o Salão de Inverno, com pinturas de Manini. Foi reedificado entre 1915-1916, com projecto do arq. Tertuliano Marques e decorações do pintor espanhol Marin. O salão de Inverno foi destruído para dar lugar a uma sala com um interessante foyer em estilo pompeiano, com lápides comemorativas dos grandes nomes que passaram pelo teatro.Em 1971,  é comprado pela CML - Lotação/Capacidade 690 lugares.
",1,a297b272-7828-49ee-805b-82ff55be683f,POINT (-9.14229062491321 38.7092139581971)
8,11,768,Teatro Nacional de São Carlos,"Rua Serpa Pinto, 9",Santa Maria Maior,+351 213 253 000,info@saocarlos.pt,tnsc.pt,"Teatro lírico construído no séc. XVIII, segundo projeto do arq. José da Costa e Silva, foi inaugurado em 1793. Objeto de diversas intervenções ao longo da sua existência, encontra-se classificado como Monumento Nacional. De características neoclássicas e inspiração seiscentista e italiana, nomeadamente no Teatro di San Carlo de Nápoles e no Teatro alla Scala de Milão, foi concebido como teatro de corte para a burguesia e como primeiro teatro público, aberto a todo o cidadão que pagasse ingresso. De planta longitudinal, apresenta uma fachada sóbria, dividida em 3 corpos e desenvolvida em 2 pisos sobrepostos sobre mezanino e um 3º piso sobre o corpo central. Este corpo central, rasgado por um pórtico, apresenta ao nível térreo uma loggia composta de 3 arcos frontais e um lateral, em volta perfeita, surgindo coroado por um terraço perfeito de balaustrada em cantaria, ostentando colunas da ordem dórica adossadas ao mesmo e exibindo, no 3º piso, um relógio envolvido por grinaldas e duas janelas, encimado por dois pináculos e um brasão. No interior, o neoclássico confunde-se com algumas remanescências barroquizantes da decoração. São de destacar a sala de espetáculos, de planta elíptica com 5 ordens de camarotes, italianizantes, o salão nobre, assim como as pinturas atribuídas a Wolkmar Machado no teto do vestíbulo e no pano da boca de cena, a Manuel da Costa no teto do salão e a Giovanni Appianni no camarote real.
",1,be0bd3c4-f232-4490-92df-c98cf95f17ae,POINT (-9.14173389317537 38.7093395446441)
9,12,769,Gota TeatroOficina,Calçada do Correio Velho 16 R/C,Santa Maria Maior,21 882 54 06,,http://fazdegota.blogspot.com/,,1,7a9d56bc-9602-4c7e-8021-0bf4a4085ec5,POINT (-9.1339880952136 38.710695035513)
