,Name,Area,GlobalID,geometry,Access,Stage
0,Colégio do Bom Sucesso,Belém,15cf71ac-1d1e-46d7-a0e7-7f09140d06c2,POINT (-9.21105689438628 38.6955782682932),Private,Second
1,Externato Alfredo Binet,Belém,d693914b-1dc3-42a8-9a06-379bfaf954e2,POINT (-9.21648434759652 38.6955752152856),Private,Second
2,"Cooperativa ""A Torre""",Belém,91d9dfd8-af85-4f8e-a585-a102fea77d2f,POINT (-9.21772663433867 38.696308410493),Private,Second
3,"Externato ""A Escolinha""",Belém,87fd77ee-86ab-45eb-b364-d647ff140be3,POINT (-9.22490182183578 38.6973174716166),Private,Second
4,"Externato ""Santa Maria de Belém""",Belém,a78b3476-9d5d-426d-b473-3d609519ec20,POINT (-9.218970594513 38.6976975852239),Private,Second
5,"Escola ""São Francisco Xavier""",Belém,96a77035-5be9-4d8c-80d0-075ccc126548,POINT (-9.21938005638312 38.697819813694),Private,Second
6,Escola Raiz,Belém,d792a5b6-82cf-4d1a-a4b1-6b012eead4e3,POINT (-9.21379716239845 38.6990922093854),Private,Second
7,"Centro de Pedagogia Terapêutica ""Bola de Neve""",Belém,27ad6b4f-4978-4408-aa87-059f8864f6f9,POINT (-9.2207410340553 38.699457349921),Private,Second
8,Colégio As Descobertas,Belém,ac529506-bf1e-4579-a104-c4b04a487166,POINT (-9.2225915468047 38.7001244038859),Private,Second
9,"Colégio ""Mira Rio""",Lumiar,3b53363a-8db2-4289-8a79-6a672981d15f,POINT (-9.16432091560347 38.7594394592301),Private,Second
10,Externato da Sociedade Promotora da Educação Popular,Alcântara,7e6316d6-e83a-43bd-adf6-a4de4d574be9,POINT (-9.17703353698559 38.7046299940868),Private,Second
11,"Escola ""Avé-Maria""",Alcântara,1f2173df-df8f-4c3e-88c0-92e897aaee6b,POINT (-9.18062868177943 38.7052103369228),Private,Second
12,"Escola Privativa n.º 6 de ""A Voz do Operário""",Ajuda,57065663-f436-4b64-824b-942416907d2f,POINT (-9.19908825041509 38.7055132437124),Private,Second
13,Escola Primária Centro Cultural e Recreativo para Crianças Cruzeiro e Rio Seco,Ajuda,26fc41ee-f396-48c3-beed-a8d494035440,POINT (-9.18998860761286 38.7070008552915),Private,Second
14,"Externato ""As Descobertas""",Belém,42003da1-290c-4a09-be28-b478c536fd41,POINT (-9.2070436931536 38.7078784830323),Private,Second
15,"Externato Paroquial ""Nossa Senhora da Conceição""",Santa Maria Maior,cc53a67c-684d-4765-837b-e55331e42cae,POINT (-9.13979782912466 38.7087128486912),Private,Second
16,PaRK International School - Restelo,Belém,ce8d9374-1954-48c1-8a0a-726caec3e236,POINT (-9.21604825844983 38.7083192525838),Private,Second
17,Colégio de Santa Maria,Estrela,3a8f02da-17e3-4ada-8a56-54b1935492b0,POINT (-9.15918740962485 38.7093089069013),Private,Second
18,Externato de São José,Belém,aa98c777-8e61-4be3-8f5a-4f480946a556,POINT (-9.21602949811176 38.7101209752386),Private,Second
19,"Externato ""O Lar da Criança""",Estrela,66a9e605-6670-4863-abb2-a30d1ab040c4,POINT (-9.15693113098338 38.7113205303154),Private,Second
20,"Colégio ""O Nosso Jardim""",Estrela,4af9d5a4-d8ac-42e4-b41c-331e46a3fcc1,POINT (-9.15891568050971 38.711816563545),Private,Second
21,APPDA - Associação Portuguesa para as Perturbações do Desenvolvimento e Autismo,Ajuda,40c4c8e4-09e5-48b4-8bd7-15bc43f0275c,POINT (-9.20267899494971 38.7119783486038),Private,Second
22,Colégio Helen Keller,Belém,aafdf128-c1ca-47fd-956c-06c3920bc665,POINT (-9.21182430811985 38.7129825135033),Private,Second
23,Salesianos de Lisboa - Colégio Oficinas de São José,Campo de Ourique,7ead6e97-6ba7-4ac9-b198-fdf5a6d6cf8d,POINT (-9.16889700394904 38.7139666883881),Private,Second
24,Colégio Luso-Suiço,Campo de Ourique,36eba2aa-565d-468a-8a53-c41df270df57,POINT (-9.15499406448485 38.7149586180133),Private,Second
