,OBJECTID,INF_NOME,FREGUESIA,GlobalID,Type,longitude,latitude
0,1,Museu de Arte Popular,Belém,4188e21c-373e-429e-b209-95c8ec28a34c,Museum,-9.20844625414179,38.6938036001826
1,3,Museu Coleção Berardo,Belém,e9b18708-da7a-4c91-87b4-dc1a4646a55b,Museum,-9.20773166084022,38.6957476923844
2,4,"MAAT - Museu de Arte, Arquitetura e Tecnologia",Belém,d30df7a4-89fd-4570-a5e2-aca9fdff84f8,Museum,-9.19371529028373,38.6960435304729
3,5,Museu Nacional dos Coches,Belém,be5d44a3-dd01-4258-a3ae-c3b73e74e446,Museum,-9.19838680167877,38.6968006044798
4,6,Museu de Marinha,Belém,658ca5c9-bc5b-49c7-ba5b-18659c32036b,Museum,-9.20923637432389,38.6972269914078
5,7,Museu da Presidência da República,Belém,1b721a03-beb2-4c05-8f75-093ce5e31877,Museum,-9.20127211903689,38.6973545686542
6,9,Museu Nacional de Arqueologia,Belém,53a42132-6e43-4836-a436-745a7b6dbb05,Museum,-9.20577110214699,38.6977812634844
7,10,Museu do Centro Cultural Casapiano,Belém,880c0be1-30d6-4c6d-a13f-cc5509e6c0a4,Museum,-9.20592914735613,38.6995406936303
8,11,Museu do Centro Cientifico e Cultural de Macau,Alcântara,5ef404cf-06fc-4ec6-bac0-69b43dd803d5,Museum,-9.18239232831072,38.700825745641
9,12,Museu da Carris,Alcântara,7ce98ec0-2de9-430f-a3d3-960cee33e5b3,Museum,-9.17990290840983,38.7016116951744
10,14,Museu do Oriente,Estrela,194cf31c-42bf-449e-ad1a-bba9caf8c0ad,Museum,-9.17072639334932,38.7028810076503
11,15,Museu Nacional de Arte Antiga,Estrela,c86d33ef-3835-4bf9-a4f8-0e99268c1c9c,Museum,-9.16117545495154,38.7050366939719
12,16,Museu Nacional de Etnologia,Belém,da219388-efdc-4894-81e6-0521e90be239,Museum,-9.20884093975929,38.7049054912757
13,17,Museu de Lisboa - Torreão Poente,Santa Maria Maior,e86a615d-3f9b-4218-a2d9-8bd38ed444d8,Museum,-9.13785522111144,38.7070238678421
14,18,Museu das Comunicações,Misericórdia,7872eea5-a055-4831-9cac-f4b40b963174,Museum,-9.15039711394694,38.7078105338602
15,19,Museu da Marioneta,Estrela,c930dc51-b368-47cf-9c31-33ec99a0ac1c,Museum,-9.1556903057238,38.7080001246788
16,21,Museu Nacional de Arte Contemporânea do Chiado,Santa Maria Maior,424b0416-1c48-4bbf-83be-bbf4c1027072,Museum,-9.14123926049217,38.7084178674259
17,22,Museu do Dinheiro,Santa Maria Maior,9d033162-87e6-4349-ac1b-b519fa324694,Museum,-9.1388466943514,38.7085052968525
18,23,Museu de Lisboa - Casa dos Bicos,Santa Maria Maior,33fe0f42-13cd-477c-9842-445f3cc0ffe2,Museum,-9.13257983699248,38.7090129803229
19,24,Mude - Museu do Design e da Moda (encerrado até junho 2019),Santa Maria Maior,b01a475f-5142-4bc9-ae54-6e5c970ead52,Museum,-9.13689138803704,38.7090385984645
20,25,Tesouro da Sé,Santa Maria Maior,a552d4b3-ac49-4b47-a4b6-0424c3a0ec75,Museum,-9.13324088535869,38.7098164468488
21,26,Núcleo Arqueológico da Rua dos Correeiros (BCP),Santa Maria Maior,88c815b8-f5e5-410d-972c-05231d9a688e,Museum,-9.13708778316754,38.7099448154714
22,27,Museu de Lisboa - Santo António,Santa Maria Maior,ea6e23b0-35cf-4592-994a-9eb3da65a4c6,Museum,-9.13387775853996,38.710012225592
23,28,Museu da Farmácia,Misericórdia,2b80e750-9b04-4328-b302-c8927f7dba7d,Museum,-9.14731588954899,38.7100316714774
24,29,Museu do Aljube - Resistência e Liberdade,Santa Maria Maior,dda8c466-b88e-415a-ba03-dc26b5242011,Museum,-9.13268944848222,38.7101715086201
25,30,Museu de Lisboa - Teatro Romano,Santa Maria Maior,04ddcf60-8a6c-4914-acce-fd1324a183ae,Museum,-9.1324910765914,38.7102533305755
26,31,Museu do Fado ,Santa Maria Maior,cd2e5d90-39d9-47c3-9ab3-d11c3a14f606,Museum,-9.12761339538145,38.7111605667067
27,32,Atelier-Museu Júlio Pomar,Misericórdia,af41efbb-ca8f-4292-860a-4274589a3319,Museum,-9.15037814061002,38.7112801009814
28,33,Museu de Artes Decorativas Portuguesas ,Santa Maria Maior,a486aa2a-4aef-491a-acdc-168f50b0cc60,Museum,-9.13044206112642,38.7121172210741
29,34,Museu Arqueológico do Carmo,Santa Maria Maior,b8ada0f6-359d-40a1-b5c9-e99d4f809523,Museum,-9.14023416772297,38.7121510280018
30,35,Museu do Lactário ,Santa Maria Maior,0479ebf3-7fdc-4db8-a0bb-4f00d9d0641b,Museum,-9.12514494476728,38.712333510127
31,36,Museu da Guarda Nacional Republicana ,Santa Maria Maior,97c0014b-c363-43a5-a7a6-a0182bd75360,Museum,-9.14075326960112,38.7122044165559
