,geometry,OBJECTID,COD_SIG,IDTIPO,NOME,MORADA,ATORTIPOCODIGO,EMAIL,SITE,REDESOCIAL,GlobalID
0,POINT (-9.09821485781715 38.7760356110963),1148,3307706017001,,IPLisboa | ESTeSL - Escola Superior de Tecnologia da Saúde de Lisboa,"Avenida D. João II, 4.69.01",10101,estesl@estesl.ipl.pt,http://www.estesl.ipl.pt,https://www.facebook.com/esteslisboa/,cb0e3435-e6d3-429d-b9fd-30ff4c9ce8a2
1,POINT (-9.14717713352607 38.756881760988),1149,4200102086001,,ESEL | Escola Superior de Enfermagem de Lisboa (Polo Fernanda Resende),"Avenida do Brasil, 53 (Pav 16)",10101,geral@esel.pt,http://www.esel.pt/,http://pt-pt.facebook.com/public/Escola-Superior-Enfermagem-Lisboa,1e72bb51-a5d5-41b4-b26c-fbe0a42076a3
2,POINT (-9.09821485781715 38.7760356110963),1150,3307706017001,,ESEL | Escola Superior de Enfermagem de Lisboa (Polo Artur Ravara),"Avenida D. João II, 4.69.01",10101,geral@esel.pt,http://www.esel.pt/,http://www.facebook.com/pages/Escola-Superior-de-Enfermagem-de-Lisboa-P%C3%B3lo-Artur-Ravara/126234857406357,4bd921b7-5e8f-40cf-9d1b-52b8af12c884
3,POINT (-9.16275759645886 38.749393730769),1151,0902012084001,,ESEL | Escola Superior de Enfermagem de Lisboa (Polo Calouste Gulbenkian),"Avenida Professor Egas Moniz, Escola Superior de Enfermagem",10101,geral@esel.pt,http://www.esel.pt/,http://www.facebook.com/pages/Escola-Superior-de-Enfermagem-de-Lisboa-Polo-Calouste-Gulbenkian/112117175482215,1f530d20-e1a3-4c59-ab02-b94ba19ddf35
4,POINT (-9.16032613815745 38.7392178854832),1152,3907301054014,,ESEL | Escola Superior de Enfermagem de Lisboa (Polo Francisco Gentil),"Rua Professor Lima Basto, IPO - Escola de Enfermagem",10101,geral@esel.pt,http://www.esel.pt/,http://fr-fr.facebook.com/pages/Escola-Superior-de-Enfermagem-de-Lisboa-Polo-Francisco-Gentil/122986631182684,de2ec9f3-68e7-483d-bf6b-f8e56d7a905d
5,POINT (-9.17369530818682 38.7060672085884),1156,2602501036001,,Escola Superior de Artes Decorativas,"Rua João de Oliveira Miguens, 76-84",10101,esad.geral@fress.pt,http://www.fress.pt,http://www.facebook.com/pages/ESAD-Escola-Superior-de-Artes-Decorativas-FRESS/163540010402889,162bcf8f-29c3-446f-8643-6966c24fcfe1
6,POINT (-9.15305457237654 38.7579844997678),1157,0901602002001,,"Universidade LUSÓFONA (ECATI - Escola de Comunicação, Arquitetura, Artes e Tecnologias da Informação","Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,https://www.ulusofona.pt,http://pt-br.facebook.com/u.lusofona,ffc4553f-5340-4337-a226-2e50d097e657
7,POINT (-9.14945076501861 38.7086551541402),1166,4900412041001,,Instituto Superior Autónomo de Estudos Politécnicos,"Rua da Boavista, 61-67",10101,secretaria@ipa.univ.pt,secretaria@ipa.univ.pt,http://www.ipa.univ.pt/,261939dd-0729-4959-b1cf-07ac1d4d04ab
8,POINT (-9.15096263323504 38.7598502623141),1171,0901602180002,,UCP | Católica (ICS - Escola de Enfermagem da Católica),"Avenida Marechal Craveiro Lopes, 10 (Escola Enfermagem)",10101,saude@ics.lisboa.ucp.pt,http://www.ics.lisboa.ucp.pt/,http://www.facebook.com/universia.pt#!/universia.pt,dc824a85-2313-4cb2-88a1-c2eed6b80cda
9,POINT (-9.19361587271867 38.7601045969288),1175,1101106001001,,Instituto Superior de Línguas Administração de Lisboa,"Estrada da Correia, 53-65",10101,isla.lisboa@lx.isla.pt,http://www.isla.pt,http://www.facebook.com/pages/ISLA-Instituto-Superior-de-Linguas-e-Administra%C3%A7%C3%A3o-de-Lisboa/282152458561880,faff9521-8849-4b89-a92c-bf7fa77dc733
10,POINT (-9.13837464356664 38.7234136396142),1178,2401302103001,,Academia Militar,"Paço da Rainha, 21-31",10101,am@mail.exercito.pt,https://academiamilitar.pt,http://www.facebook.com/pages/Academia-Militar/358466327518824,f058683a-eb23-42b3-9f65-394de60b3d73
11,POINT (-9.15308948899333 38.7579610454961),1179,0901602002001,,Universidade LUSÓFONA (ISS - Instituto de Serviço Social),"Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,https://www.ulusofona.pt/,http://www.facebook.com/pages/Instituto-Superior-de-Ci%C3%AAncias-Policiais-e-Seguran%C3%A7a-Interna/372646229427801,b2773ece-ee89-47ad-8877-38285b91209d
