,OBJECTID,COD_SIG,INF_NOME,INF_MORADA,INF_TELEFONE,INF_EMAIL,INF_SITE,INF_ACTIVO,INF_DESCRICAO,FREGUESIA,GlobalID,geometry
0,1,1426,Colégio do Bom Sucesso,"R. Bartolomeu Dias, 53
",+351 213010442,cl.bomsucesso@escolas.min-edu.pt,https://www.colegiobomsucesso.pt/pt/,1,,Belém,15cf71ac-1d1e-46d7-a0e7-7f09140d06c2,POINT (-9.21105689438628 38.6955782682932)
1,2,1427,Externato Alfredo Binet,"Rua Paulo da Gama, 14",213014247,ext.alfredobinet@escolas.min-edu.pt;,https://alfredbinet.com.pt/,1,,Belém,d693914b-1dc3-42a8-9a06-379bfaf954e2,POINT (-9.21648434759652 38.6955752152856)
2,3,1428,"Cooperativa ""A Torre""",Praça Malaca n.3,213011407,ext.atorre@escolas.min-edu.pt; geral@atorre.pt,https://atorre.pt/,1,,Belém,91d9dfd8-af85-4f8e-a585-a102fea77d2f,POINT (-9.21772663433867 38.696308410493)
3,4,1429,"Externato ""A Escolinha""","Rua Fernão Mendes Pinto, 41",+351 213 014 452,ext.aescolinha@escolas.min-edu.pt,https://www.externatoescolinha.pt/,1,,Belém,87fd77ee-86ab-45eb-b364-d647ff140be3,POINT (-9.22490182183578 38.6973174716166)
4,5,1430,"Externato ""Santa Maria de Belém""","Rua Duarte Pacheco Pereira, 24 - 1º Dto, Restelo

",+351 213 011 343,ext.santamdebelem@escolas.min-edu.pt,https://externatosantamariadebelem.com/,1,,Belém,a78b3476-9d5d-426d-b473-3d609519ec20,POINT (-9.218970594513 38.6976975852239)
5,6,1431,"Escola ""São Francisco Xavier""","Rua Duarte Pacheco Pereira, 5",+351 213 010 039,esc.sfranciscoxavier@escolas.min-edu.pt,http://www.esfranciscoxavier.com.sapo.pt,1,,Belém,96a77035-5be9-4d8c-80d0-075ccc126548,POINT (-9.21938005638312 38.697819813694)
6,7,1432,Escola Raiz,Avenida do Restelo nº 23,+351 21 304 20 80,esc.raiz@escolas.min-edu.pt,https://escolaraiz.pt/,1,,Belém,d792a5b6-82cf-4d1a-a4b1-6b012eead4e3,POINT (-9.21379716239845 38.6990922093854)
7,8,1433,"Centro de Pedagogia Terapêutica ""Bola de Neve""","Rua Afonso Gonçalves Baldaya, 6",+351 213 010 813,ct.boladeneve@escolas.min-edu.pt,https://www.colegioboladeneve.com/,1,,Belém,27ad6b4f-4978-4408-aa87-059f8864f6f9,POINT (-9.2207410340553 38.699457349921)
8,9,1434,Colégio As Descobertas,"Avenida Dom Vasco da Gama, 25
",+351 213 014 811,cl.asdescobertas@escolas.min-edu.pt,https://ipeip-asdescobertas.pt/,1,,Belém,ac529506-bf1e-4579-a104-c4b04a487166,POINT (-9.2225915468047 38.7001244038859)
9,11,1436,"Colégio ""Mira Rio""","Estrada de Telheiras, 113A-113B",+351 213 030 480,ext.mirario@escolas.min-edu.pt,http://www.colegiomirario.pt,1,,Lumiar,3b53363a-8db2-4289-8a79-6a672981d15f,POINT (-9.16432091560347 38.7594394592301)
