,OBJECTID,COD_SIG,INF_NOME,INF_MORADA,FREGUESIA,INF_TELEFONE,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_ACTIVO,GlobalID,geometry
0,1,168,Centro de Documentação da Casa da América Latina ,"Avenida da Índia, 110 ",Belém,+351 218 172 490,geral@casamericalatina.pt,http://casamericalatina.pt/inicio/,,-,1,3d123d45-0d43-4507-b6b3-37a4f384a251,POINT (-9.1943402237447 38.6967176932591)
1,2,169,UCCLA - Centro de Documentação,"Avenida da Índia, 110",Belém,+351 218 172 950,uccla@uccla.pt,http://www.uccla.pt/,"A UCCLA é uma associação intermunicipal de natureza internacional, criada a 28 de junho de 1985. Assinaram o ato de fundação, as cidades de Bissau, Lisboa, Luanda, Macau, Maputo, Praia, Rio de Janeiro e São Tomé/Água Grande.
Dispõem de um pequeno centro de documentação.",-,1,d3cc88bf-d350-4f9d-829a-94cd08ffebb8,POINT (-9.19433594926581 38.6967534158723)
2,3,170,Biblioteca de Belém,Rua da Junqueira 295 ,Belém,+351 218 172 580,bib.belem@cm-lisboa.pt,http://blx.cm-lisboa.pt,"A Biblioteca Municipal de Belém encontra-se instalada num edifício de dois pisos, com um desafogado pátio de entrada e jardim. Estas instalações constituíam a parte poente do palácio que o Marquês de Angeja mandou construir, pouco depois do terramoto de 1755. O palacete manteve-se propriedade da família daquele aristocrata até 1910 altura em que foi adquirido por José Alves Diniz um comerciante que o transformou em prédio de rendimento. Este corpo poente foi habitado durante largos anos e serviu também de colégio, vindo finalmente, em 1962, a tornar-se propriedade da Câmara Municipal de Lisboa que depois de o reabilitar o adaptou a biblioteca pública.Esta Biblioteca tem um fundo bibliográfico de aproximadamente 24.000 volumes que se encontra, em grande parte, informatizado e em livre acesso.Actividades Regulares para adultos: Exposições temporárias com destaque para a pintura, mas também de cerâmica, colagens, artesanato, fotografia, etc. Colóquios;Sessões de poesia;Lançamento de livros;para os mais jovens e em ligação com as escolas da área de influência da biblioteca; encontros com escritores;concursos; sessões de desenho e pintura;dramatização de textos.
",CML - Rede BLx,1,53473127-6007-4d47-9b87-fa4e563c56f8,POINT (-9.195836078897 38.697128835316)
3,4,171,Arquivo Central e Arquivo Histórico de Marinha,Avenida da Índia S/N 1º,Belém,21 362 76 00,arquivo.central@marinha.pt / arquivo.historico@marinha.pt,www.marinha.pt,"Fundos com origem na documentação da antiga Secretaria de Estado dos Negócios da Marinha e do Ultramar, que por decreto de 15 de Fevereiro de 1843 foi reunida em Arquivo. Alguma documentação dos séculos XVII e XVIII, sendo a dos séculos XIX e XX aquela que constitui o grosso do seu espólio.
",www.marinha.pt,1,ae67622f-e6cc-4a72-afd3-f69f2d4039cb,POINT (-9.19236965231991 38.6971708005374)
4,5,172,Biblioteca Central da Marinha,Praça do Império Museu da Marinha R/C,Belém,21 365 85 20,biblioteca.marinha@marinha.pt,www.marinha.pt,"Situada, desde 1891, na Praça do Império, na imediata proximidade do Mosteiro dos Jerónimos, a Biblioteca Central da Marinha (BCM) é sucessora da antiga Biblioteca da Real Academia dos Guardas-Marinhas, que seguiu com a côrte para o Brasil aquando da 1ª invasão francesa, tendo ficado em grande parte naquele país. A sua fundação, como 'Biblioteca de Marinha', deve-se à Rainha D. Maria II, por decreto de 7 de Janeiro de 1835. Integrada no Arsenal Real de Marinha foi inicialmente instalada no andar nobre do respectivo edifício da Ribeira das Naus. Virada à temática da História Naval e Marítima, a BCM dispõe no seu acervo de valiosas obras versando Literatura Clássica, História, Geografia, Ciências Filosóficas e Religiosas, provenientes de antigas livrarias conventuais que, na sequência de extinção das Ordens Religiosas em Portugal (1834), vieram enriquecer o seu património e constituíram praticamente o núcleo primitivo do seu recheio.Com uma ampla sala de leitura, esta biblioteca foi enriquecida ao longo dos anos com aquisições e legados diversos, entre os quais avultam valiosas bibliotecas de consagrados estudiosos e investigadores, nomeadamente Almirante Gago Coutinho, Comandante Marques Esparteiro, Comandante Nunes Ribeiro, Vice-Almirante Avelino Teixeira da Mota. A BCM possui presentemente, cerca de 47 000 títulos, totalizando perto de 120 000 volumes, à disposição do público em geral e cujo acesso é gratuito.
",www.marinha.pt,1,fd047b92-5e5f-45f4-bf47-c703cfb0012f,POINT (-9.20923596941843 38.697199972424)
5,6,173,Biblioteca do Museu de Marinha,Praça do Império Museu da Marinha R/C,Belém,21362 00 19,geral.museu@marinha.pt,http://museu.marinha.pt/,"A Biblioteca do Museu de Marinha possui cerca de 10.000 obras, para além de publicações periódicas. Algumas temáticas encontram-se especialmente bem representadas: assuntos marítimos, História geral e dos Descobrimentos, e estudos olissiponenses. Estando o inventário informatizado, está à disposição do investigador uma base de dados englobando todo o material aqui reunido. O Gabinete de Imagem do Museu de Marinha dispõe de um Arquivo com mais de seis dezenas de milhar de imagens, documentando navios e embarcações, individualidades e eventos que têm feito História desde meados do século XIX, quando a fotografia dava os seus primeiros passos.
",http://museu.marinha.pt/,1,fce17ff2-0341-4902-a867-2acc0e93a0ec,POINT (-9.20923596941843 38.697199972424)
6,7,174,Biblioteca do Museu de Marinha,Praça do Império Museu da Marinha R/C,Belém,21362 00 19,geral.museu@marinha.pt,http://museu.marinha.pt/,"A Biblioteca do Museu de Marinha possui cerca de 10.000 obras, para além de publicações periódicas. Algumas temáticas encontram-se especialmente bem representadas: assuntos marítimos, História geral e dos Descobrimentos, e estudos olissiponenses. Estando o inventário informatizado, está à disposição do investigador uma base de dados englobando todo o material aqui reunido. O Gabinete de Imagem do Museu de Marinha dispõe de um Arquivo com mais de seis dezenas de milhar de imagens, documentando navios e embarcações, individualidades e eventos que têm feito História desde meados do século XIX, quando a fotografia dava os seus primeiros passos.
",http://museu.marinha.pt/,1,023bab6b-1a5e-454e-91f1-584464e1ec7d,POINT (-9.20922488136068 38.6972270971809)
7,8,175,Biblioteca do Museu Nacional dos Coches,Praça Afonso de Albuquerque 4 1º,Belém,21 361 08 50,mncoches.mariacmartins@imc-ip.pt,www.museudoscoches.pt,"A biblioteca é especializada em Meios de Transporte, Arte Equestre, Equitação, História de Arte e Museologia.
",www.museudoscoches.pt,1,211c53ca-fd2d-4ab7-adc9-d8b25eb32f67,POINT (-9.1997115273464 38.6978158232229)
8,9,176,Biblioteca Museu Nacional Arqueologia,Praça do Império (Mosteiro),Belém,21 792 00 00,biblioteca@mnarqueologia-ipmuseus.pt,http://biblioteca.mnarqueologia-ipmuseus.pt/,"Fundado em 1893 veio-se a instalar no Mosteiro dos Jerónimos em 1903, onde ocupou o espaço correspondente aos antigos dormitórios dos monges de S. Jerónimo. Exibe colecções arqueológicas portuguesas que cobrem todos os períodos históricos, da Pré-História Antiga à Época Romana e períodos ulteriores, até à fundação de Portugal. Colecções estrangeiras, etnografia e documentação diversa. 
",http://biblioteca.mnarqueologia-ipmuseus.pt/,1,b4b2e61a-9c77-4fd0-b0d1-b0307a20fd7b,POINT (-9.20578246066934 38.697772151412)
9,10,177,Centro de Documentação Europeia da Universidade Lusíada,Rua Pinto Ferreira 13 R/C,Belém,21 361 16 17  ,helder.machado@lis.ulusiada.pt,http://oeuropeu.eu,,http://oeuropeu.eu,1,bf51016e-b673-4493-825d-56c50eb570c3,POINT (-9.19180759058483 38.6985428962756)
10,11,178,Bibliotecas da Universidade Lusíada,Rua Pinto Ferreira 13 R/C,Belém,21 361 15 87/21 361 15 00,biblio@lis.ulusiada.pt,www.lis.ulusiada.pt,"A Universidade Lusíada possui uma Biblioteca e uma Mediateca, para além do Centro de Documentação Europeia.
",www.lis.ulusiada.pt,1,02361d9e-375e-4a46-80c0-bde92809ad7d,POINT (-9.19180759058483 38.6985428962756)
11,12,179,Biblioteca César da Silva,Rua dos Jerónimos 5 R/C,Belém,21 363 69 72,,,"Na sua colecção destacam-se publicações e periódicos de temática casapiana e também obras referentes a temas gerais história, arte, património, ciências exactas e humanas, literatura infanto-juvenil, poesia e ficção, bem como obras de Luz Soriano e publicações sobre a Cidade de Lisboa. 
",-,1,a5ca4461-6485-4550-b109-ebd6fedc7aca,POINT (-9.20594077640881 38.699549593899)
12,13,180,Arquivo Histórico Ultramarino/DGLAB,Calçada da Boa-Hora 30 R/C ,Alcântara,21 030 91 00,ahu@ahu.dglab.gov.pt,www2.iict.pt,"O primitivo núcleo remonta ao séc. XVI, sendo então propriedade dos Saldanha. Após sucessivas alterações, apresenta actualmente três corpos principais: o da entrada, o do lado sul e o salão Pompeia, a nascente. No interior, destacam-se os painéis de azulejos dos sécs. XVII e XVIII e, sobretudo, o salão Pompeia, classificado como Imóvel de Interesse Público. Construído no séc. XVIII, foi remodelado no séc. XIX, tendo-se nessa época acrescentado uma falsa cúpula. Conservaram-se, no entanto, os painéis de azulejos setecentistas. Adquirido pelo Estado em 1919, aí funciona o Arquivo Histórico Ultramarino. O Arquivo Histórico Ultramarino (AHU) foi legalmente criado pelo Decreto-lei nº 19869 de 9 de Junho de 1931. Teve como objectivo reunir num só local, em boas condições de segurança e conservação, toda a documentação colonial que se encontrava dispersa. Desta forma tornou-se possível tratar tecnicamente toda a documentação para que pudesse ser posta à disposição do público e divulgada a informação nela contida.Desde a sua criação, o AHU esteve dependente do Ministério das Colónias ou do Ultramar. Em 1973, por força do art. 29.º do decreto-lei nº583/73 de 6 de Novembro, foi integrado na Junta de Investigações Científicas do Ultramar, hoje Instituto de Investigação Científica Tropical (IICT) dependente do Ministério da Ciência e do Ensino Superior (MCES).O Arquivo Histórico Ultramarino (AHU) tem a sua documentação organizada em três fundos principais: o Conselho Ultramarino (séc. XVI a 1833), a Secretaria de Estado da Marinha e Ultramar (séc. XVI - 1910) e o Ministério do Ultramar (1911-1975). Esta classificação tem em conta a diferenciada organização administrativa e documental das instituições que geriram o antigo império colonial: o Antigo Regime, a Monarquia Constitucional e a República. No seu conjunto, estes fundos encerram a memória histórica de Portugal e dos países ou regiões com os quais manteve relações de domínio ou de vizinhança. ",www2.iict.pt,1,b94a448b-999f-467c-9201-b99c8c379956,POINT (-9.18980575959728 38.6999842512095)
13,14,181,Centro Científico e Cultural de Macau - Serviço de Informação e Documentação ,Rua da Junqueira 5A R/C ,Alcântara,21 361 75 70,sid@cccm.pt,www.cccm.mctes.pt,"O Centro Científico e Cultural de Macau é uma instituição vocacionada para o estudo e a divulgação da história, da cultura e da sociedade de Macau. Um polo de conhecimento e de aprofundamento das relações Portugal-China. 
",www.cccm.mctes.pt,1,90da19de-fcc1-4a32-bfb9-0fcf93fe6c5f,POINT (-9.18188489792873 38.700713201128)
