,OBJECTID,COD_SIG,INF_NOME,INF_MORADA,FREGUESIA,INF_TELEFONE,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_ACTIVO,GlobalID,geometry
0,1,506,Cinema Ideal,"Rua do Loreto, 15",Misericórdia,+351 210 998 295,cinemaideal@cinemaideal.pt,www.cinemaideal.pt,"Esta sala de cinema, aberta desde 1904, conheceu ao longo dos anos diversas designações - Salão Ideal, Cinema Ideal, Cine Camões e Cine Paraíso. O sspaço sofreu uma grande remodelação nos anos 50, mas conservou todo o charme de um ¿cinema de bairro¿, com o seu foyer, balcão e plateia. Em agosto de 2014 reabriu como Cinema Ideal, depois de um profundo trabalho de renovação e recuperação, de arquitetura e de equipamento de projeção de imagem e som. ",-,1,45afe625-02d7-4712-b6b8-7aa0c2116ed6,POINT (-9.14421890064127 38.7105419551935)
1,2,507,Cinemateca Júnior,"Praça dos Restauradores, Palácio da Foz",Santa Maria Maior,+351 213 462 157 | +351 213 476 129,cinemateca.junior@cinemateca.pt,http://www.cinemateca.pt/,"A Cinemateca Júnior, instalada no Palácio Foz, é um serviço da Cinemateca Portuguesa-Museu do Cinema direcionado para os espectadores infantis e juvenis.",http://www.cinemateca.pt/,1,1d3ca135-5a24-478c-95f4-dd2dc87a65c9,POINT (-9.14217296415889 38.7155597377788)
2,3,508,Cinema São Jorge,"Avenida da Liberdade, 175",Santo António,+351 213 103 400,cinemasaojorge@egeac.pt,http://cinemasaojorge.pt/,"Um dos mais emblemáticos cinemas de Lisboa, construído, no final dos anos 40 do séc. XX, por iniciativa da Sociedade Anglo-Portuguesa de Cinemas, com projeto do arq. Fernando Silva, foi inaugurado em 1950. A sua inovação e arrojo valeram-lhe a atribuição por unanimidade do Prémio Municipal de Arquitectura desse ano. Considerado  uma ''obra moderna'', afastando-se do modelo nacionalista então em vigor, adotou novas técnicas construtivas, das quais se destaca o betão, que permitiram novas soluções estruturais e decorativas. Em 2000 o imóvel veio à posse camarária. Após uma intervenção na fachada e remodelação no interior, reabriu em novembro de 2001. Desde essa data funciona com uma atividade regular de exibição de filmes (comerciais e antestreias), para além de acolher Festivais e outros eventos de grande visibilidade.
",http://cinemasaojorge.pt/,1,1bf79faf-5d97-48b3-b085-fa4446c435a2,POINT (-9.14632734020411 38.7202915388439)
3,4,509,Cinemateca Portuguesa ,"Rua Barata Salgueiro, 39 R/C",Santo António,+ 351 213 596 200,cinemateca@cinemateca.pt,www.cinemateca.pt/,"Em 1948 foi criada a Cinemateca Nacional, hoje Cinemateca Portuguesa-Museu do Cinema, com o objetivo de preservar e difundir a Sétima Arte (Cinema Português em particular).

Instalada num palacete do séc.XIX, dispõe de 2 salas de cinema: sala Dr.Félix Ribeiro e sala Luís de Pina.",-,1,3414bf94-62ac-43c7-a846-0d5e41251e89,POINT (-9.14875439274829 38.7208771016563)
4,5,510,NOS Amoreiras,Avenida Engenheiro Duarte Pacheco Lote 7 2º Loja 2052,Campo de Ourique,16996,cinema.amoreiras@nos.pt,http://cinemas.nos.pt/,"Possui 7 salas
",http://cinemas.nos.pt/,1,1af99162-1626-4f83-9342-f891e2b442bc,POINT (-9.1621026515977 38.7236706345087)
5,6,511,UCI Cinemas - El Corte Inglés,"Avenida António Augusto de Aguiar, 31",Avenidas Novas,+351 213 801 4 00,administrative@ucicinemas.pt,www.ucicinemas.pt,"Situadas no El Corte Inglês. Possui 14 salas com um total de 2698 lugares.
",www.ucicinemas.pt,1,13511a16-ad5e-4b53-9b25-355ab130ee40,POINT (-9.15340798563761 38.7333439219981)
6,7,512,Cinema Monumental,"Av. Praia da Vitória, 72  (Edifício Monumental)",Avenidas Novas,+351 213 142 223,monumental@medeiafilmes.com,www.medeiafilmes.com,"Dispõe de quatro salas de cinema com capacidade, no total, para mais de 800 espectadores. O Cine-Teatro é uma imponente sala de exibição cinematográfica de Lisboa com os seus 378 lugares.
",www.medeiafilmes.com,1,d96aaf73-b46e-46e8-89ac-8d2328d6f08d,POINT (-9.14579320378632 38.7335261917306)
7,8,513,Espaço Nimas,"Avenida Cinco de Outubro, 42B",Avenidas Novas,+351 213 574 362,espaconimas@gmail.com,http://medeiafilmes.com,"Ao longo de várias décadas, esta sala, foi o palco de alguns dos mais significativos acontecimentos culturais da cidade, nomeadamente na área do Cinema.",http://medeiafilmes.com,1,0bc17fd8-e56c-4dfc-9542-4cadf79767e1,POINT (-9.14718277671252 38.7356900304196)
8,9,514,Cinema City Campo Pequeno,Centro Comercial Campo Pequeno ,Avenidas Novas,21 798 14 20,campopequeno@cinemacity.pt,www.cinemacity.pt,"Possui oito salas, com um total de 1176 lugares.
",www.cinemacity.pt,1,a88d4e22-33be-4fdd-8b1e-1c8695afd7d7,POINT (-9.14449387516613 38.7423214179747)
9,10,515,Fórum Lisboa,"Avenida de Roma, 14 P",Areeiro,+351 218 170 400,-,www.cm-lisboa.pt,"Fórum Lisboa foi a designação adotada pela Câmara Municipal para o antigo Cinema Roma, adquirido pela autarquia em 1997 para servir de sede à Assembleia Municipal.
Situado no coração da Avenida de Roma e com um parque de estacionamento anexo, o Fórum Lisboa dispõe de um auditório de 700 lugares, um foyer e um conjunto de salas de reunião de capacidade variável.
Pretende-se que este espaço esteja ao serviço da sociedade civil como verdadeira Casa da Cidadania, aberto, por isso, a atividades cívicas, culturais ou sociais das mais diversas entidades que o desejem utilizar, nomeadamente para sessões de cinema, colóquios, congressos ou reuniões alargadas.
",-,1,fe7d109a-6c73-47a3-ad03-8a82452e77ca,POINT (-9.13801199862753 38.7436886688391)
