,Nome,Outros nomes,Linha,Lat.,Long.
0,Aeroporto,—,Vermelha,38.76861,−9.12861
1,Alameda,Alameda I (técn.),Verde,38.73713,−9.13388
2,Alameda,Alameda II (técn.),Vermelha,38.73697,−9.13261
3,Alfornelos,—,Azul,38.76038,−9.20435
4,Alto dos Moinhos,Centro Administrativo (prev.),Azul,38.74994,−9.18003
5,Alvalade,—,Verde,38.75311,−9.14396
6,Amadora Este,Falagueira (prev.),Azul,38.75847,−9.21803
7,Ameixoeira,Carriche (prev.),Amarela,38.77937,−9.15962
8,Anjos,—,Verde,38.72715,−9.13485
9,Areeiro,—,Verde,38.74233,−9.13354
10,Arroios,—,Verde,38.73266,−9.13430
11,Avenida,—,Azul,38.71948,−9.14524
12,Baixa-Chiado,Baixa-Chiado I (técn.),Azul,38.71051,−9.14006
13,Baixa-Chiado,Baixa-Chiado II (técn.),Verde,38.71055,−9.14025
14,Bela Vista,Vale de Chelas (prev.) Chelas (prev.),Vermelha,38.74770,−9.11763
15,Cabo Ruivo,Olivais Velho (prev.),Vermelha,38.76293,−9.10499
16,Cais do Sodré,—,Verde,38.70609,−9.14684
17,Campo Grande,Campo Grande I (técn.),Verde,38.76012,−9.15780
18,Campo Grande,Campo Grande II (técn.),Amarela,38.76027,−9.15788
19,Campo Pequeno,—,Amarela,38.74076,−9.14664
20,Carnide,—,Azul,38.75919,−9.19267
21,Chelas,Armador (prev.),Vermelha,38.75479,−9.11392
22,Cidade Universitária,—,Amarela,38.75156,−9.15911
23,Colégio Militar / Luz,Luz (prev.) Estrada da Luz (prev.),Azul,38.75336,−9.18918
24,Encarnação,—,Vermelha,38.77502,−9.11555
25,Entre Campos,—,Amarela,38.74708,−9.14823
26,Intendente,—,Verde,38.72320,−9.13523
27,Jardim Zoológico,Sete Rios (até 1998.03.01),Azul,38.74140,−9.16848
28,Laranjeiras,—,Azul,38.74847,−9.17253
29,Lumiar,—,Amarela,38.77339,−9.15941
30,Marquês de Pombal,Rotunda I (técn. até 1998.03.01) Marquês de Pombal I (técn.),Azul,38.72431,−9.14931
31,Marquês de Pombal,Rotunda II (técn. até 1998.03.01) Marquês de Pombal II (técn.),Amarela,38.72488,−9.15034
32,Martim Moniz,Socorro (até 1998.03.01),Verde,38.71753,−9.13583
33,Moscavide,—,Vermelha,38.77488,−9.10292
34,Odivelas,—,Amarela,38.79334,−9.17301
35,Olaias,—,Vermelha,38.74003,−9.12333
36,Olivais,Olivais Sul (prev.),Vermelha,38.76101,−9.11198
37,Oriente,—,Vermelha,38.76787,−9.09959
38,Parque,—,Azul,38.72892,−9.15051
39,Picoas,—,Amarela,38.73037,−9.14692
40,Pontinha,—,Azul,38.76222,−9.19684
41,Praça de Espanha,Palhavã (até 1998.03.01),Azul,38.73775,−9.15927
42,Quinta das Conchas,Quinta do Lambert (prev.) Quinta das Mouras (prev.),Amarela,38.76737,−9.15557
43,Rato,—,Amarela,38.72015,−9.15479
44,Reboleira,Amadora Sul (prev.),Azul,38.75227,−9.22408
45,Restauradores,—,Azul,38.71590,−9.14212
46,Roma,—,Verde,38.74784,−9.14115
47,Rossio,—,Verde,38.71402,−9.13794
48,Saldanha,Saldanha I (técn.),Amarela,38.73471,−9.14521
49,Saldanha,Saldanha II (técn.),Vermelha,38.73519,−9.14425
50,Santa Apolónia,—,Azul,38.71369,−9.12247
51,São Sebastião,São Sebastião I (técn.),Azul,38.73392,−9.15358
52,São Sebastião,São Sebastião II (técn.),Vermelha,38.73476,−9.15272
53,Senhor Roubado,Malaposta (prev.),Amarela,38.78564,−9.17182
54,Telheiras,—,Verde,38.75997,−9.16643
55,Terreiro do Paço,—,Azul,38.70703,−9.13441
56,Nome,Outros nomes,Linha,Lat.,Long.
