,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
0,0,"Apartamento T2 em Alvalade, Lisboa",430.000 €,2 quartos,Área bruta 90 m²,"38,7457392","-9,1425898",Alvalade, 
1,1,"Apartamento T1 em Benfica, Lisboa",269.900 €,1 quarto,Área bruta 97 m²,"38,75171","-9,2009",Benfica, 
2,2,"Apartamento T3 na Rua António Nobre, São Domingos de Benfica, Lisboa",399.900 €,3 quartos,Área bruta 120 m²,"38,74657","-9,17989",São Domingos de Benfica, 
3,3,"Apartamento T2 na Rua de São Pedro Mártir, Santa Maria Maior, Lisboa",285.000 €,2 quartos,Área bruta 55 m²,"38,71471","-9,13582",Santa Maria Maior, 
4,4,"Apartamento T1 em Praça de Luís de Camões, Misericórdia, Lisboa",690.000 €,1 quarto,Área bruta 93 m²,"38,71078","-9,14385",Misericórdia,Com garagem
5,5,"Apartamento T5 na Rua Sousa Pinto, Santo António, Lisboa",3.950.000 €,5 quartos,Área bruta 416 m²,"38,7234746455","-9,1581178942",Santo António,"De luxo, Com garagem"
6,6,"Apartamento T4+1 na Rua de São Paulo, Misericórdia, Lisboa",1.650.000 €,4 quartos,Área útil 233 m²,"38,70794","-9,14468",Misericórdia,"Com elevador, Com garagem"
7,7,"Apartamento T2+1 em Calçada do Combro, Misericórdia, Lisboa",1.800.000 €,2 quartos,Área bruta 234 m²,"38,71101","-9,14865",Misericórdia,"Com elevador, Com garagem"
8,8,"Apartamento T9 na Rua de Santa Marta, Santo António, Lisboa",1.500.000 €,9 quartos,Área bruta 290 m²,"38,72401","-9,14598",Santo António,Com elevador
9,9,"Apartamento T5 na Avenida Miguel Torga, Campolide, Lisboa",2.200.000 €,5 quartos,Área bruta 336 m²,"38,73108","-9,16051",Campolide,"De luxo, Com elevador, Com garagem"
10,10,"Moradia T5 na Rua das Pedras Negras, Santa Maria Maior, Lisboa",8.200.000 €,5 quartos,Área bruta 874 m²,"38,71019","-9,13348",Santa Maria Maior,"De luxo, Com garagem"
11,11,"Apartamento T4 em Arroios, Lisboa",375.000 €,4 quartos,Área bruta 90 m²,"38,72411","-9,13463",Arroios, 
12,12,"Apartamento T1+1 na Rua da Silva, Misericórdia, Lisboa",310.000 €,1 quarto,Área bruta 60 m²,"38,70935","-9,15253",Misericórdia, 
13,13,"Apartamento T3 na Rua do Ferragial, Misericórdia, Lisboa",2.450.000 €,3 quartos,Área bruta 264 m²,"38,70762","-9,14239",Misericórdia,"De luxo, Com garagem"
14,14,"Moradia T4+1 em Largo do Mastro, Arroios, Lisboa",2.390.000 €,4 quartos,Área bruta 262 m²,"38,72141","-9,13855",Arroios,"De luxo, Com garagem"
15,15,"Apartamento T2+1 em Arroios, Lisboa",250.000 €,2 quartos,Área útil 88 m²,"38,7321733","-9,1350438",Arroios,Com elevador
16,16,"Apartamento T2 Duplex em Calçada da Ajuda, Ajuda, Lisboa",325.000 €,2 quartos,Área bruta 48 m²,"38,70531","-9,19939",Ajuda, 
17,17,"Apartamento T1+2 na Rua Cecílio de Sousa, Misericórdia, Lisboa",320.000 €,1 quarto,Área bruta 68 m²,"38,7160237","-9,1500739",Misericórdia,Rés do chão
18,18,"Apartamento T6 na Avenida João XXI, Areeiro, Lisboa",810.000 €,6 quartos,Área bruta 150 m²,"38,74253","-9,13526",Areeiro,Com elevador
19,19,"Apartamento T5 em Avenidas Novas, Lisboa",1.470.000 €,5 quartos,Área bruta 228 m²,"38,7410926","-9,1471513",Avenidas Novas,Com garagem
20,20,"Apartamento em Estrada de Benfica, Benfica, Lisboa",257.000 €,C.E.: C,Unknown,"38,75237","-9,20599",Benfica, 
21,21,"Apartamento T2 na Avenida de Berna, Avenidas Novas, Lisboa",495.000 €,2 quartos,Área bruta 70 m²,"38,7394789","-9,1520223",Avenidas Novas,Com elevador
22,22,"Apartamento T2 na Rua Gregório Lopes, Belém, Lisboa",488.000 €,2 quartos,Área bruta 102 m²,"38,7116286","-9,2137529",Belém,"Com elevador, Com garagem"
23,23,"Apartamento T3 em Arroios, Lisboa",495.000 €,3 quartos,Área bruta 119 m²,"38,7328921","-9,1341885",Arroios, 
24,24,"Apartamento T2 Duplex em Estrela, Lisboa",490.000 €,2 quartos,Área bruta 70 m²,"38,7061891","-9,1616014",Estrela,Rés do chão
25,25,"Apartamento T2 na Rua do Mirante, São Vicente, Lisboa",299.000 €,2 quartos,Área bruta 60 m²,"38,71681","-9,12154",São Vicente, 
26,26,"Moradia T3 Triplex em Belém, Lisboa",1.400.000 €,3 quartos,Área bruta 230 m²,"38,6979033995","-9,1952884197",Belém, 
27,27,"Apartamento T3 Duplex na Rua Luz Soriano, Misericórdia, Lisboa",1.270.000 €,3 quartos,Área bruta 180 m²,"38,71193","-9,14586",Misericórdia,Com elevador
28,28,"Apartamento T4 em Campo de Ourique, Lisboa",825.000 €,4 quartos,Área bruta 134 m²,"38,72151","-9,1595",Campo de Ourique,Com elevador
29,29,"Apartamento T3 em Parque das Nações, Lisboa",1.590.000 €,3 quartos,Área bruta 130 m²,"38,77093","-9,09819",Parque das Nações,"Com elevador, Com garagem"
30,30,"Apartamento T2 na Rua Luz Soriano, Misericórdia, Lisboa",758.000 €,2 quartos,Área bruta 138 m²,"38,71193","-9,14586",Misericórdia,Com elevador
31,31,"Apartamento T3 na Rua Joaquim Casimiro, Estrela, Lisboa",1.900.000 €,3 quartos,Área bruta 160 m²,"38,70501","-9,16721",Estrela, 
32,32,"Apartamento T2 na Rua Silva Carvalho, Campo de Ourique, Lisboa",615.000 €,2 quartos,Área bruta 74 m²,"38,7185","-9,16215",Campo de Ourique,Com elevador
